id	title	category	era	access_status	diagram_kind	diagram_label	evidence	source_label	source_url	diagram_url	record_path	redistribution_status	trust_tier	safety_note	redesign_candidate	restriction_basis
TAT30	Automatic Telephone Recorder	surveillance	1989	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1989	https://www.worldradiohistory.com/Archive-Poptronics/Experimenters-Handbook/Electronic-Hobbyist-Handbook-1989.pdf		records/tat30.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
SNP20	Security Phone Listener	surveillance	1986	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1986	https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-03.pdf		records/snp20.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
COMBOX	Six-Transmitter Combo	surveillance	2002	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 2002	https://www.worldradiohistory.com/Archive-Poptronics/00s/02/PP-2002-06.pdf		records/combox.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
COMBOP	Six-Transmitter Plan Set	surveillance	2002	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 2002	https://www.worldradiohistory.com/Archive-Poptronics/00s/02/PP-2002-06.pdf		records/combop.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
HEP1	High-Energy Pulsed Research Plans	fringe	1990s	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1990s	https://electronicsandbooks.com/edt/manual/Magazine/R/Radio%20Electronics%20US/90s/1998/EN-1998-06%20c20150705%20%5B112%5D.pdf		records/hep1.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
HEP1K	High-Energy Pulsed Research Kit	fringe	1990s	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1990s	https://electronicsandbooks.com/edt/manual/Magazine/R/Radio%20Electronics%20US/90s/1998/EN-1998-06%20c20150705%20%5B112%5D.pdf		records/hep1k.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
HEP10	High-Energy Pulsed System	fringe	1990s	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1990s	https://electronicsandbooks.com/edt/manual/Magazine/R/Radio%20Electronics%20US/90s/1998/EN-1998-06%20c20150705%20%5B112%5D.pdf		records/hep10.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
HEP3	High-Energy Pulsar / Ignitor Plans	fringe	1998	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1998	https://electronicsandbooks.com/edt/manual/Magazine/R/Radio%20Electronics%20US/90s/1998/EN-1998-06%20c20150705%20%5B112%5D.pdf		records/hep3.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
HEP3K	High-Energy Pulsar Kit	fringe	1998	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1998	https://electronicsandbooks.com/edt/manual/Magazine/R/Radio%20Electronics%20US/90s/1998/EN-1998-06%20c20150705%20%5B112%5D.pdf		records/hep3k.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
HEP30	High-Energy Pulsar Assembly	fringe	1998	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1998	https://electronicsandbooks.com/edt/manual/Magazine/R/Radio%20Electronics%20US/90s/1998/EN-1998-06%20c20150705%20%5B112%5D.pdf		records/hep30.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
HEPCAP	Pulsed-Energy Storage Accessory	fringe	1998	restricted_metadata	restricted	Component details withheld	Period catalog advertisement	Period source · 1998	https://electronicsandbooks.com/edt/manual/Magazine/R/Radio%20Electronics%20US/90s/1998/EN-1998-06%20c20150705%20%5B112%5D.pdf		records/hepcap.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
EMP1	Electromagnetic Pulse Generator	fringe	2000s	restricted_metadata	restricted	Operational drawing withheld	Legacy page citation	Surviving reference to /emp.htm	https://forum.mosfetkiller.de/viewtopic.php?start=30&t=69		records/emp1.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
EMP1-D	EMP Plan Download	fringe	2000s	restricted_metadata	restricted	Operational drawing withheld	Mirrored legacy catalog data	Legacy EMP page trail	https://forum.mosfetkiller.de/viewtopic.php?start=30&t=69		records/emp1-d.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
EMP400IUINS	EMP400 Instruction Package	fringe	2000s	restricted_metadata	restricted	Operational drawing withheld	Mirrored legacy catalog data	Legacy EMP page trail	https://forum.mosfetkiller.de/viewtopic.php?start=30&t=69		records/emp400iuins.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
EMP400IUINS-D	EMP400 Download Package	fringe	2000s	restricted_metadata	restricted	Operational drawing withheld	Mirrored legacy catalog data	Legacy EMP page trail	https://forum.mosfetkiller.de/viewtopic.php?start=30&t=69		records/emp400iuins-d.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
CAP08-100KV	0.08 μF / 100 kV Pulse Capacitor	fringe	2000s	restricted_metadata	restricted	Application details withheld	Mirrored legacy catalog data	Legacy EMP page trail	https://forum.mosfetkiller.de/viewtopic.php?start=30&t=69		records/cap08-100kv.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
GAP150	GAP150 Switching Accessory	fringe	2000s	restricted_metadata	restricted	Application details withheld	Mirrored legacy catalog data	Legacy EMP page trail	https://forum.mosfetkiller.de/viewtopic.php?start=30&t=69		records/gap150.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
GAP200	GAP200 Switching Accessory	fringe	2000s	restricted_metadata	restricted	Application details withheld	Mirrored legacy catalog data	Legacy EMP page trail	https://forum.mosfetkiller.de/viewtopic.php?start=30&t=69		records/gap200.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
GAP400	GAP400 Switching Accessory	fringe	2000s	restricted_metadata	restricted	Application details withheld	Mirrored legacy catalog data	Legacy EMP page trail	https://forum.mosfetkiller.de/viewtopic.php?start=30&t=69		records/gap400.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
HVOLT1	High-Voltage Charging Supply	fringe	2000s	restricted_metadata	restricted	Application details withheld	Mirrored legacy catalog data	Legacy EMP page trail	https://forum.mosfetkiller.de/viewtopic.php?start=30&t=69		records/hvolt1.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
HVOLT1K	High-Voltage Supply Kit	fringe	2000s	restricted_metadata	restricted	Application details withheld	Mirrored legacy catalog data	Legacy EMP page trail	https://forum.mosfetkiller.de/viewtopic.php?start=30&t=69		records/hvolt1k.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
HVOLT10	High-Voltage Supply Assembly	fringe	2000s	restricted_metadata	restricted	Application details withheld	Mirrored legacy catalog data	Legacy EMP page trail	https://forum.mosfetkiller.de/viewtopic.php?start=30&t=69		records/hvolt10.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
GRA1	Gravity Generator	fringe	1986	restricted_metadata	restricted	High-voltage construction drawing withheld	Period catalog advertisement	Period source · 1986	https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-03.pdf		records/gra1.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
GRA3	Anti-Gravity / Ion-Wind Demonstrator	fringe	2002	restricted_metadata	restricted	High-voltage construction drawing withheld	Period catalog advertisement	Period source · 2002	https://www.worldradiohistory.com/Archive-Poptronics/00s/02/PP-2002-06.pdf		records/gra3.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
HOVER	Hover Board Plans and Data	fringe	2002	restricted_metadata	restricted	Operational construction content withheld	Period catalog advertisement	Period source · 2002	https://www.worldradiohistory.com/Archive-Poptronics/00s/02/PP-2002-06.pdf		records/hover.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
EML1	Electromagnetic Coil Launcher	fringe	1989	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1989	https://www.worldradiohistory.com/Archive-Poptronics/Experimenters-Handbook/Electronic-Hobbyist-Handbook-1989.pdf		records/eml1.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
