id	title	author	category	mode	query	note
wollstonecraft-rights-woman	A Vindication of the Rights of Woman	Mary Wollstonecraft	Philosophy-Government-Power	gutenberg	Vindication Rights Woman Wollstonecraft	Equality, education, and political personhood.
federalist-papers	The Federalist Papers	Hamilton, Madison, and Jay	Philosophy-Government-Power	gutenberg	Federalist Papers Hamilton Madison Jay	Arguments for the United States Constitution.
anti-federalist-papers	Selected Anti-Federalist Papers	Multiple authors	Philosophy-Government-Power	licensed	-	Bibliographic reader entry pending a verified distributable edition.
sun-tzu-art-war	The Art of War	Sun Tzu	Philosophy-War-Peace	gutenberg	Art of War Sun Tzu Giles	Strategy, uncertainty, intelligence, and restraint.
thucydides-peloponnesian-war	History of the Peloponnesian War	Thucydides	Philosophy-War-Peace	gutenberg	Peloponnesian War Thucydides	Power, fear, civil conflict, and political judgment.
xenophon-cyropaedia	Cyropaedia	Xenophon	Philosophy-War-Peace	gutenberg	Cyropaedia Xenophon	Leadership, education, empire, and command.
machiavelli-art-war	The Art of War	Niccolo Machiavelli	Philosophy-War-Peace	gutenberg	Art of War Machiavelli	Military organization and civic defense.
grotius-law-war-peace	On the Law of War and Peace	Hugo Grotius	Philosophy-War-Peace	gutenberg	Law of War and Peace Grotius	Natural law, conflict, sovereignty, and restraint.
kant-perpetual-peace	Perpetual Peace	Immanuel Kant	Philosophy-War-Peace	gutenberg	Perpetual Peace Kant	Conditions for durable peace among states.
clausewitz-on-war	On War	Carl von Clausewitz	Philosophy-War-Peace	gutenberg	On War Clausewitz	War, politics, friction, uncertainty, and command.
tolstoy-war-peace	War and Peace	Leo Tolstoy	Philosophy-War-Peace	gutenberg	War and Peace Tolstoy	History, power, war, and free will through narrative.
tolstoy-kingdom-god	The Kingdom of God Is Within You	Leo Tolstoy	Philosophy-War-Peace	gutenberg	Kingdom of God Is Within You Tolstoy	Nonviolence, conscience, and institutional power.
thoreau-civil-disobedience	Civil Disobedience	Henry David Thoreau	Philosophy-War-Peace	gutenberg	Civil Disobedience Thoreau	Conscience and resistance to unjust government.
gandhi-hind-swaraj	Hind Swaraj	Mohandas Gandhi	Philosophy-War-Peace	gutenberg	Hind Swaraj Gandhi	Self-rule, modernity, nonviolence, and civilization.
james-moral-equivalent-war	The Moral Equivalent of War	William James	Philosophy-War-Peace	gutenberg	Moral Equivalent of War William James	Civic discipline without militarism.
erasmus-complaint-peace	The Complaint of Peace	Erasmus	Philosophy-War-Peace	gutenberg	Complaint of Peace Erasmus	Humanist condemnation of organized war.
plato-apology	Apology	Plato	Philosophy-Mind-Human-Nature	gutenberg	Apology Plato Jowett	Socratic examination, conscience, and death.
plato-crito	Crito	Plato	Philosophy-Mind-Human-Nature	gutenberg	Crito Plato Jowett	Law, obligation, and principled refusal.
plato-phaedo	Phaedo	Plato	Philosophy-Mind-Human-Nature	gutenberg	Phaedo Plato Jowett	Soul, death, knowledge, and philosophical life.
plato-symposium	Symposium	Plato	Philosophy-Mind-Human-Nature	gutenberg	Symposium Plato Jowett	Love, desire, beauty, and ascent of understanding.
plato-meno	Meno	Plato	Philosophy-Mind-Human-Nature	gutenberg	Meno Plato Jowett	Virtue, inquiry, and learning.
plato-gorgias	Gorgias	Plato	Philosophy-Mind-Human-Nature	gutenberg	Gorgias Plato Jowett	Rhetoric, justice, pleasure, and power.
plato-phaedrus	Phaedrus	Plato	Philosophy-Mind-Human-Nature	gutenberg	Phaedrus Plato Jowett	Love, rhetoric, writing, and the soul.
plato-timaeus	Timaeus	Plato	Philosophy-Nature-Science	gutenberg	Timaeus Plato Jowett	Cosmos, matter, order, and living nature.
plato-protagoras	Protagoras	Plato	Philosophy-Mind-Human-Nature	gutenberg	Protagoras Plato Jowett	Virtue, education, and moral psychology.
plato-theaetetus	Theaetetus	Plato	Philosophy-Logic-Knowledge	gutenberg	Theaetetus Plato Jowett	Definitions and limits of knowledge.
aristotle-metaphysics	Metaphysics	Aristotle	Philosophy-Logic-Knowledge	gutenberg	Metaphysics Aristotle	Being, causation, substance, and first principles.
aristotle-physics	Physics	Aristotle	Philosophy-Nature-Science	gutenberg	Physics Aristotle	Change, motion, nature, time, and cause.
aristotle-on-soul	On the Soul	Aristotle	Philosophy-Mind-Human-Nature	gutenberg	On the Soul Aristotle	Life, perception, intellect, and mind.
aristotle-categories	Categories	Aristotle	Philosophy-Logic-Knowledge	gutenberg	Categories Aristotle	Fundamental kinds of predication and being.
aristotle-interpretation	On Interpretation	Aristotle	Philosophy-Logic-Knowledge	gutenberg	On Interpretation Aristotle	Statements, contradiction, truth, and modality.
aristotle-prior-analytics	Prior Analytics	Aristotle	Philosophy-Logic-Knowledge	gutenberg	Prior Analytics Aristotle	Syllogistic reasoning.
aristotle-posterior-analytics	Posterior Analytics	Aristotle	Philosophy-Logic-Knowledge	gutenberg	Posterior Analytics Aristotle	Demonstration, explanation, and scientific knowledge.
aristotle-topics	Topics	Aristotle	Philosophy-Logic-Knowledge	gutenberg	Topics Aristotle	Dialectical argument and reasoning from accepted beliefs.
aristotle-rhetoric	Rhetoric	Aristotle	Philosophy-Logic-Knowledge	gutenberg	Rhetoric Aristotle	Persuasion, audience, emotion, and argument.
aristotle-poetics	Poetics	Aristotle	Philosophy-Philosophical-Literature	gutenberg	Poetics Aristotle	Tragedy, representation, plot, and catharsis.
lucretius-nature	De Rerum Natura - On the Nature of Things	Titus Lucretius Carus	Philosophy-Nature-Science	gutenberg	On the Nature of Things Lucretius	Atomism, mind, mortality, nature, and freedom from fear.
diogenes-lives	Lives and Opinions of Eminent Philosophers	Diogenes Laertius	Philosophy-Mind-Human-Nature	gutenberg	Lives Opinions Eminent Philosophers Diogenes Laertius	Biographical record of ancient philosophical schools.
cicero-ends	On the Ends of Good and Evil	Cicero	Philosophy-Ethics-Good-Life	gutenberg	Ends of Good and Evil Cicero	Competing ancient accounts of the highest good.
cicero-tusculan	Tusculan Disputations	Cicero	Philosophy-Ethics-Good-Life	gutenberg	Tusculan Disputations Cicero	Death, pain, grief, emotion, and virtue.
cicero-republic	On the Republic	Cicero	Philosophy-Government-Power	gutenberg	Republic Cicero	Justice, constitutions, and the commonwealth.
sextus-pyrrhonism	Outlines of Pyrrhonism	Sextus Empiricus	Philosophy-Logic-Knowledge	gutenberg	Outlines Pyrrhonism Sextus Empiricus	Skepticism, suspension of judgment, and inquiry.
plotinus-enneads	The Enneads	Plotinus	Philosophy-Meaning-Solitude	gutenberg	Enneads Plotinus	Neoplatonic metaphysics and contemplative ascent.
porphyry-life-plotinus	Life of Plotinus	Porphyry	Philosophy-Meaning-Solitude	gutenberg	Life of Plotinus Porphyry	Biographical introduction to Plotinus and his school.
plutarch-lives	Parallel Lives	Plutarch	Philosophy-Philosophical-Literature	gutenberg	Plutarch Lives	Character and statecraft through paired biography.
bacon-novum-organum	Novum Organum	Francis Bacon	Philosophy-Logic-Knowledge	gutenberg	Novum Organum Bacon	Induction, evidence, and intellectual error.
bacon-advancement-learning	The Advancement of Learning	Francis Bacon	Philosophy-Logic-Knowledge	gutenberg	Advancement of Learning Bacon	Classification and renewal of human knowledge.
descartes-discourse	Discourse on the Method	Rene Descartes	Philosophy-Logic-Knowledge	gutenberg	Discourse Method Descartes	Methodic doubt and disciplined reasoning.
descartes-meditations	Meditations on First Philosophy	Rene Descartes	Philosophy-Logic-Knowledge	gutenberg	Meditations First Philosophy Descartes	Knowledge, doubt, mind, and God.
spinoza-ethics	Ethics	Baruch Spinoza	Philosophy-Ethics-Good-Life	gutenberg	Ethics Spinoza	Substance, emotion, freedom, and blessedness.
spinoza-theological-political	Theological-Political Treatise	Baruch Spinoza	Philosophy-Government-Power	gutenberg	Theological Political Treatise Spinoza	Scripture, liberty, sovereignty, and toleration.
leibniz-monadology	The Monadology	Gottfried Wilhelm Leibniz	Philosophy-Logic-Knowledge	gutenberg	Monadology Leibniz	Metaphysical units, perception, and order.
berkeley-principles	Principles of Human Knowledge	George Berkeley	Philosophy-Logic-Knowledge	gutenberg	Principles Human Knowledge Berkeley	Perception, matter, and idealism.
hume-enquiry	An Enquiry Concerning Human Understanding	David Hume	Philosophy-Logic-Knowledge	gutenberg	Enquiry Human Understanding Hume	Causation, evidence, induction, and skepticism.
hume-treatise	A Treatise of Human Nature	David Hume	Philosophy-Mind-Human-Nature	gutenberg	Treatise Human Nature Hume	Mind, passion, knowledge, and morality.
hume-dialogues	Dialogues Concerning Natural Religion	David Hume	Philosophy-Logic-Knowledge	gutenberg	Dialogues Natural Religion Hume	Reasoning about design, causation, and divinity.
kant-critique-pure-reason	Critique of Pure Reason	Immanuel Kant	Philosophy-Logic-Knowledge	gutenberg	Critique of Pure Reason Kant	Conditions, scope, and limits of human knowledge.
kant-groundwork	Groundwork of the Metaphysics of Morals	Immanuel Kant	Philosophy-Ethics-Good-Life	gutenberg	Groundwork Metaphysics Morals Kant	Duty, autonomy, and the categorical imperative.
mill-system-logic	A System of Logic	John Stuart Mill	Philosophy-Logic-Knowledge	gutenberg	System of Logic John Stuart Mill	Inference, induction, evidence, and social science.
peirce-selected-essays	Selected Philosophical Essays	Charles Sanders Peirce	Philosophy-Logic-Knowledge	gutenberg	Peirce essays pragmatism logic	Pragmatism, inquiry, signs, and scientific reasoning.
james-pragmatism	Pragmatism	William James	Philosophy-Logic-Knowledge	gutenberg	Pragmatism William James	Truth, consequences, pluralism, and lived inquiry.
russell-problems	The Problems of Philosophy	Bertrand Russell	Philosophy-Logic-Knowledge	gutenberg	Problems of Philosophy Russell	Appearance, reality, knowledge, and universals.
wittgenstein-tractatus	Tractatus Logico-Philosophicus	Ludwig Wittgenstein	Philosophy-Logic-Knowledge	gutenberg	Tractatus Logico Philosophicus Wittgenstein	Language, logic, facts, and limits of expression.
whitehead-science-modern-world	Science and the Modern World	Alfred North Whitehead	Philosophy-Nature-Science	gutenberg	Science and the Modern World Whitehead	Scientific concepts and the modern worldview.
emerson-nature	Nature	Ralph Waldo Emerson	Philosophy-Nature-Science	gutenberg	Nature Emerson	Nature, perception, spirit, and self-reliance.
thoreau-walden	Walden	Henry David Thoreau	Philosophy-Nature-Science	gutenberg	Walden Thoreau	Simplicity, labor, nature, and deliberate life.
darwin-origin	On the Origin of Species	Charles Darwin	Philosophy-Nature-Science	gutenberg	Origin of Species Darwin	Evolution, evidence, variation, and natural selection.
darwin-descent	The Descent of Man	Charles Darwin	Philosophy-Nature-Science	gutenberg	Descent of Man Darwin	Human evolution and sexual selection.
kropotkin-mutual-aid	Mutual Aid	Peter Kropotkin	Philosophy-Nature-Science	gutenberg	Mutual Aid Kropotkin	Cooperation in nature and society.
humboldt-cosmos	Cosmos	Alexander von Humboldt	Philosophy-Nature-Science	gutenberg	Cosmos Humboldt	Unified description of the physical world.
marsh-man-nature	Man and Nature	George Perkins Marsh	Philosophy-Nature-Science	gutenberg	Man and Nature Marsh	Human transformation of the environment.
muir-first-summer	My First Summer in the Sierra	John Muir	Philosophy-Nature-Science	gutenberg	First Summer Sierra Muir	Observation, wilderness, and natural wonder.
leopold-sand-county	A Sand County Almanac	Aldo Leopold	Philosophy-Nature-Science	licensed	-	Copyrighted land-ethic classic; full text requires a licensed edition.
augustine-confessions	Confessions	Augustine of Hippo	Philosophy-Meaning-Solitude	gutenberg	Confessions Augustine	Memory, desire, conversion, time, and self-examination.
augustine-city-god	The City of God	Augustine of Hippo	Philosophy-Government-Power	gutenberg	City of God Augustine	History, political community, violence, and providence.
pascal-pensees	Pensees	Blaise Pascal	Philosophy-Meaning-Solitude	gutenberg	Pensees Pascal	Reason, faith, diversion, misery, and greatness.
schopenhauer-world-will	The World as Will and Representation	Arthur Schopenhauer	Philosophy-Meaning-Solitude	gutenberg	World as Will Representation Schopenhauer	Will, representation, suffering, and aesthetic release.
schopenhauer-essays	Essays and Aphorisms	Arthur Schopenhauer	Philosophy-Meaning-Solitude	gutenberg	Essays Schopenhauer	Practical and pessimistic reflections on human life.
kierkegaard-fear-trembling	Fear and Trembling	Soren Kierkegaard	Philosophy-Meaning-Solitude	gutenberg	Fear and Trembling Kierkegaard	Faith, ethics, sacrifice, and inwardness.
kierkegaard-sickness-death	The Sickness Unto Death	Soren Kierkegaard	Philosophy-Meaning-Solitude	licensed	-	Exact English translation requires rights review.
nietzsche-zarathustra	Thus Spoke Zarathustra	Friedrich Nietzsche	Philosophy-Meaning-Solitude	gutenberg	Thus Spake Zarathustra Nietzsche	Self-overcoming, value creation, and recurrence.
nietzsche-beyond-good-evil	Beyond Good and Evil	Friedrich Nietzsche	Philosophy-Ethics-Good-Life	gutenberg	Beyond Good and Evil Nietzsche	Critique of morality, philosophy, and cultural authority.
nietzsche-genealogy	On the Genealogy of Morality	Friedrich Nietzsche	Philosophy-Ethics-Good-Life	gutenberg	Genealogy of Morals Nietzsche	Historical critique of moral concepts.
nietzsche-gay-science	The Gay Science	Friedrich Nietzsche	Philosophy-Meaning-Solitude	gutenberg	Gay Science Nietzsche	Knowledge, art, nihilism, and affirmation.
nietzsche-twilight	Twilight of the Idols	Friedrich Nietzsche	Philosophy-Meaning-Solitude	gutenberg	Twilight of the Idols Nietzsche	Compact critique of inherited philosophical idols.
nietzsche-birth-tragedy	The Birth of Tragedy	Friedrich Nietzsche	Philosophy-Philosophical-Literature	gutenberg	Birth of Tragedy Nietzsche	Art, tragedy, culture, and competing creative drives.
nietzsche-ecce-homo	Ecce Homo	Friedrich Nietzsche	Philosophy-Meaning-Solitude	gutenberg	Ecce Homo Nietzsche	Late autobiographical interpretation of his project.
tolstoy-confession	A Confession	Leo Tolstoy	Philosophy-Meaning-Solitude	gutenberg	Confession Tolstoy	Despair, mortality, faith, and meaning.
james-varieties	The Varieties of Religious Experience	William James	Philosophy-Mind-Human-Nature	gutenberg	Varieties Religious Experience William James	Psychology and philosophy of religious experience.
confucius-analects	The Analects	Confucius	Philosophy-World-Traditions	gutenberg	Analects Confucius Legge	Virtue, learning, ritual, family, and government.
mencius	Mencius	Mencius	Philosophy-World-Traditions	gutenberg	Mencius Legge	Human nature, benevolent government, and moral cultivation.
laozi-tao-te-ching	Tao Te Ching	Laozi	Philosophy-World-Traditions	gutenberg	Tao Te Ching Lao Tzu	Way, simplicity, non-forcing, and government.
zhuangzi	The Book of Chuang Tzu	Zhuangzi	Philosophy-World-Traditions	gutenberg	Chuang Tzu Zhuangzi	Perspective, spontaneity, language, and freedom.
mozi-selected	Selected Writings of Mozi	Mozi	Philosophy-World-Traditions	licensed	-	Bibliographic reader entry pending a verified distributable English edition.
i-ching	The I Ching - Book of Changes	Traditional	Philosophy-World-Traditions	licensed	-	Translation rights vary; include only after edition-level review.
bhagavad-gita	The Bhagavad Gita	Traditional	Philosophy-World-Traditions	gutenberg	Bhagavad Gita	Duty, action, knowledge, devotion, and liberation.
upanishads	The Principal Upanishads	Traditional	Philosophy-World-Traditions	gutenberg	Upanishads	Self, ultimate reality, consciousness, and liberation.
dhammapada	The Dhammapada	Traditional	Philosophy-World-Traditions	gutenberg	Dhammapada	Buddhist ethical verses on mind, conduct, and liberation.
sutta-nipata	The Sutta Nipata	Traditional	Philosophy-World-Traditions	gutenberg	Sutta Nipata	Early Buddhist discourses and ethical teachings.
jataka-selections	Jataka Tales - Selected Birth Stories	Traditional	Philosophy-World-Traditions	gutenberg	Jataka Tales	Moral narratives from Buddhist tradition.
patanjali-yoga-sutras	The Yoga Sutras of Patanjali	Patanjali	Philosophy-World-Traditions	gutenberg	Yoga Sutras Patanjali	Mind, discipline, concentration, and liberation.
santideva-bodhisattva	The Way of the Bodhisattva	Santideva	Philosophy-World-Traditions	licensed	-	Modern English translations require permission.
vivekananda-raja-yoga	Raja Yoga	Swami Vivekananda	Philosophy-World-Traditions	gutenberg	Raja Yoga Vivekananda	Yoga, concentration, mind, and spiritual discipline.
tagore-sadhana	Sadhana	Rabindranath Tagore	Philosophy-World-Traditions	gutenberg	Sadhana Tagore	Indian philosophical essays on self, world, and realization.
maimonides-guide	The Guide for the Perplexed	Maimonides	Philosophy-World-Traditions	gutenberg	Guide for the Perplexed Maimonides	Reason, scripture, metaphysics, and negative theology.
maimonides-eight-chapters	Eight Chapters	Maimonides	Philosophy-World-Traditions	licensed	-	Bibliographic reader entry pending a verified public-domain translation.
ibn-tufail-hayy	Hayy ibn Yaqzan	Ibn Tufail	Philosophy-World-Traditions	gutenberg	Hayy ibn Yaqzan Ibn Tufail	Reason, nature, solitude, and self-taught knowledge.
al-ghazali-deliverance	Deliverance from Error	Al-Ghazali	Philosophy-World-Traditions	licensed	-	Bibliographic reader entry pending a verified public-domain translation.
ibn-khaldun-muqaddimah	The Muqaddimah	Ibn Khaldun	Philosophy-World-Traditions	licensed	-	Common English translations remain copyrighted.
saadia-beliefs-opinions	The Book of Beliefs and Opinions	Saadia Gaon	Philosophy-World-Traditions	licensed	-	Bibliographic reader entry pending edition and translation review.
smith-moral-sentiments	The Theory of Moral Sentiments	Adam Smith	Philosophy-Government-Power	gutenberg	Theory of Moral Sentiments Adam Smith	Sympathy, judgment, virtue, and social order.
smith-wealth-nations	The Wealth of Nations	Adam Smith	Philosophy-Government-Power	gutenberg	Wealth of Nations Adam Smith	Political economy, labor, trade, and institutions.
marx-capital-volume-one	Capital - Volume I	Karl Marx	Philosophy-Government-Power	gutenberg	Capital Volume One Karl Marx	Capital, labor, commodities, and industrial society.
marx-engels-manifesto	The Communist Manifesto	Karl Marx and Friedrich Engels	Philosophy-Government-Power	gutenberg	Communist Manifesto Marx Engels	Class conflict and revolutionary political program.
engels-socialism	Socialism: Utopian and Scientific	Friedrich Engels	Philosophy-Government-Power	gutenberg	Socialism Utopian Scientific Engels	Contrasting socialist theories and historical materialism.
kropotkin-conquest-bread	The Conquest of Bread	Peter Kropotkin	Philosophy-Government-Power	gutenberg	Conquest of Bread Kropotkin	Anarchist organization, production, and distribution.
bakunin-god-state	God and the State	Mikhail Bakunin	Philosophy-Government-Power	gutenberg	God and the State Bakunin	Authority, religion, freedom, and anarchism.
stirner-ego-own	The Ego and His Own	Max Stirner	Philosophy-Government-Power	gutenberg	Ego and His Own Stirner	Individualism and critique of abstractions.
george-progress-poverty	Progress and Poverty	Henry George	Philosophy-Government-Power	gutenberg	Progress and Poverty Henry George	Land, rent, inequality, and political economy.
goldman-anarchism	Anarchism and Other Essays	Emma Goldman	Philosophy-Government-Power	gutenberg	Anarchism Other Essays Emma Goldman	Anarchism, authority, prisons, and social questions.
de-cleyre-selected	Selected Works of Voltairine de Cleyre	Voltairine de Cleyre	Philosophy-Government-Power	gutenberg	Selected Works Voltairine de Cleyre	Liberty, anarchism, education, and social criticism.
lenin-state-revolution	The State and Revolution	Vladimir Lenin	Philosophy-Government-Power	gutenberg	State and Revolution Lenin	Marxist account of state power and revolution.
du-bois-souls	The Souls of Black Folk	W. E. B. Du Bois	Philosophy-Government-Power	gutenberg	Souls of Black Folk Du Bois	Race, democracy, education, and double consciousness.
washington-up-slavery	Up from Slavery	Booker T. Washington	Philosophy-Government-Power	gutenberg	Up from Slavery Booker Washington	Education, labor, advancement, and institutional strategy.
douglass-narrative	Narrative of the Life of Frederick Douglass	Frederick Douglass	Philosophy-Government-Power	gutenberg	Narrative Frederick Douglass	Freedom, literacy, slavery, and moral agency.
douglass-selected-speeches	Selected Speeches of Frederick Douglass	Frederick Douglass	Philosophy-Government-Power	gutenberg	Frederick Douglass speeches	Abolition, citizenship, equality, and constitutional argument.
tolstoy-death-ivan	The Death of Ivan Ilyich	Leo Tolstoy	Philosophy-Philosophical-Literature	gutenberg	Death of Ivan Ilyich Tolstoy	Mortality, conformity, suffering, and authenticity.
dostoevsky-brothers-karamazov	The Brothers Karamazov	Fyodor Dostoevsky	Philosophy-Philosophical-Literature	gutenberg	Brothers Karamazov Dostoevsky	Faith, freedom, responsibility, and evil.
dostoevsky-notes-underground	Notes from Underground	Fyodor Dostoevsky	Philosophy-Philosophical-Literature	gutenberg	Notes from Underground Dostoevsky	Freedom, resentment, reason, and alienation.
dostoevsky-crime-punishment	Crime and Punishment	Fyodor Dostoevsky	Philosophy-Philosophical-Literature	gutenberg	Crime and Punishment Dostoevsky	Guilt, rationalization, suffering, and redemption.
melville-moby-dick	Moby-Dick	Herman Melville	Philosophy-Philosophical-Literature	gutenberg	Moby Dick Melville	Obsession, fate, nature, authority, and interpretation.
defoe-robinson-crusoe	Robinson Crusoe	Daniel Defoe	Philosophy-Philosophical-Literature	gutenberg	Robinson Crusoe Defoe	Isolation, labor, survival, faith, and colonial assumptions.
voltaire-candide	Candide	Voltaire	Philosophy-Philosophical-Literature	gutenberg	Candide Voltaire	Satire of optimism, cruelty, and philosophical systems.
swift-gulliver	Gulliver's Travels	Jonathan Swift	Philosophy-Philosophical-Literature	gutenberg	Gulliver Travels Swift	Political satire, human nature, reason, and pride.
goethe-faust	Faust	Johann Wolfgang von Goethe	Philosophy-Philosophical-Literature	gutenberg	Faust Goethe	Knowledge, striving, temptation, and redemption.
dante-divine-comedy	The Divine Comedy	Dante Alighieri	Philosophy-Philosophical-Literature	gutenberg	Divine Comedy Dante	Moral order, responsibility, suffering, and transcendence.
milton-paradise-lost	Paradise Lost	John Milton	Philosophy-Philosophical-Literature	gutenberg	Paradise Lost Milton	Freedom, obedience, rebellion, and evil.
sophocles-antigone	Antigone	Sophocles	Philosophy-Philosophical-Literature	gutenberg	Antigone Sophocles	Law, conscience, family, and state authority.
aeschylus-oresteia	The Oresteia	Aeschylus	Philosophy-Philosophical-Literature	gutenberg	Oresteia Aeschylus	Vengeance, justice, family, and civic law.
shakespeare-hamlet	Hamlet	William Shakespeare	Philosophy-Philosophical-Literature	gutenberg	Hamlet Shakespeare	Action, uncertainty, mortality, and responsibility.
shakespeare-king-lear	King Lear	William Shakespeare	Philosophy-Philosophical-Literature	gutenberg	King Lear Shakespeare	Authority, family, madness, suffering, and recognition.
shakespeare-macbeth	Macbeth	William Shakespeare	Philosophy-Philosophical-Literature	gutenberg	Macbeth Shakespeare	Ambition, guilt, fate, and political violence.
shakespeare-tempest	The Tempest	William Shakespeare	Philosophy-Philosophical-Literature	gutenberg	Tempest Shakespeare	Power, freedom, revenge, and reconciliation.
shelley-frankenstein	Frankenstein	Mary Shelley	Philosophy-Philosophical-Literature	gutenberg	Frankenstein Mary Shelley	Creation, responsibility, isolation, and scientific ambition.
wells-time-machine	The Time Machine	H. G. Wells	Philosophy-Philosophical-Literature	gutenberg	Time Machine H G Wells	Class, evolution, progress, and decline.
wells-war-worlds	The War of the Worlds	H. G. Wells	Philosophy-Philosophical-Literature	gutenberg	War of the Worlds H G Wells	Civilization, vulnerability, empire, and survival.
london-sea-wolf	The Sea-Wolf	Jack London	Philosophy-Philosophical-Literature	gutenberg	Sea Wolf Jack London	Power, materialism, survival, and moral agency.
conrad-heart-darkness	Heart of Darkness	Joseph Conrad	Philosophy-Philosophical-Literature	gutenberg	Heart of Darkness Conrad	Imperialism, violence, moral collapse, and narration.
chesterton-man-thursday	The Man Who Was Thursday	G. K. Chesterton	Philosophy-Philosophical-Literature	gutenberg	Man Who Was Thursday Chesterton	Order, anarchy, fear, and metaphysical comedy.
arendt-human-condition	The Human Condition	Hannah Arendt	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
