id	filename	title	category	source_url	publisher	safety_note	rights_note
ag-small-farm-tools	equipment-tools-small-scale-intensive-crop-production.pdf	Equipment and Tools for Small-Scale Intensive Crop Production	Agriculture-Tools	https://projects.sare.org/media/pdf/e/q/u/equipment-and-tools-for-small-scale-intensive-crop-production-1.pdf	NCAT ATTRA / USDA SARE	Use guards, training, lockout, hearing and eye protection, and the current manufacturer manual.	Freely hosted sustainable-agriculture technical reference; review terms before redistribution.
ag-small-animals-fao	small-animals-for-small-farms.pdf	Small Animals for Small Farms, Second Edition	Agriculture-Livestock	https://www.fao.org/4/i2469e/i2469e00.pdf	Food and Agriculture Organization of the United Nations	Animal health, welfare, quarantine, slaughter, zoonotic disease, and veterinary requirements vary by place and species.	FAO publication; personal offline reference, review FAO reuse terms before redistribution.
ag-poultry-usda	organic-poultry-meat-eggs.pdf	Organic Poultry Production for Meat and Eggs	Agriculture-Livestock	https://www.ams.usda.gov/sites/default/files/media/Organic%20Poultry%20Production%20for%20Meat%20and%20Eggs_FINAL.pdf	USDA Agricultural Marketing Service	Use current biosecurity, food-safety, welfare, veterinary, processing, and certification requirements.	U.S. federal government publication.
ag-beekeeping-usda	usda-beekeeping-in-the-united-states.pdf	Beekeeping in the United States - Agriculture Handbook 335	Agriculture-Livestock	https://www.ars.usda.gov/ARSUserFiles/60500500/PDFFiles/1-100/015-USDA-%20Beekeeping%20in%20the.pdf	USDA Agricultural Research Service	Historical handbook; current disease, mite, pesticide, apiary, allergy, and state requirements control.	U.S. federal government publication.
ag-pasture-sare	pasture-grazing-management-pacific-northwest.pdf	Pasture and Grazing Management in the Pacific Northwest	Agriculture-Pasture	https://western.sare.org/wp-content/uploads/PNW0614.pdf	Pacific Northwest Extension / USDA SARE	Adapt stocking, forage, fencing, water, poisonous-plant, and winter-feed decisions to local conditions.	Extension/SARE publication; retain attribution and review terms before redistribution.
ag-pasture-condition-nrcs	national-pasture-condition-scoring-guide.pdf	National Pasture Condition Scoring Guide and Score Sheet	Agriculture-Pasture	https://www.nrcs.usda.gov/sites/default/files/2022-06/National_Pasture_Condition_Scoring_Guide_and_Score_Sheet_-_January_2020.pdf	USDA NRCS	A field score supports planning but does not replace a local conservationist, agronomist, or veterinarian.	U.S. federal government publication.
ag-hardiness-zones-usda	usda-plant-hardiness-zone-map-2023.pdf	USDA Plant Hardiness Zone Map - 2023 National Map	Agriculture-Calendar-Zones	https://planthardiness.ars.usda.gov/system/files/National_Map_HZ_36x24_300.pdf	USDA Agricultural Research Service / Oregon State University	Hardiness zones describe average annual extreme minimum temperature, not planting dates or every site microclimate.	Use unaltered with USDA/OSU attribution; map alteration and commercial reuse restrictions may apply.
ag-nyc-planting-cornell	cornell-nyc-vegetable-planting-calendar.pdf	New York City Vegetable Planting Calendar	Agriculture-New-York	https://harvestny.cce.cornell.edu/uploads/doc_160.pdf	Cornell Cooperative Extension	Dates are regional estimates; weather, frost, microclimate, variety, and current extension guidance control.	Cornell extension handout; personal offline reference, licensing review required before redistribution.
ag-ny-harvest-chart	ny-grown-produce-harvest-chart.pdf	New York Grown Produce Harvest Chart	Agriculture-New-York	https://www.ny.gov/sites/default/files/atoms/files/HarvestChart.pdf	State of New York	Seasonality is approximate and varies by region, cultivar, weather, and storage.	New York State public information; retain attribution and review terms before redistribution.
ag-storage-usda	usda-commercial-storage-handbook-66.pdf	The Commercial Storage of Fruits, Vegetables, and Florist and Nursery Stocks - Agriculture Handbook 66	Agriculture-Postharvest	https://www.ars.usda.gov/arsuserfiles/oc/np/commercialstorage/commercialstorage.pdf	USDA Agricultural Research Service	Cold storage, atmospheres, chemicals, and food-safety controls require current commodity-specific procedures.	U.S. federal government publication.
ag-root-cellar-purdue	storing-vegetables-fruits-at-home.pdf	Storing Vegetables and Fruits at Home	Agriculture-Postharvest	https://www.purdue.edu/hla/sites/yardandgarden/wp-content/uploads/sites/2/2016/10/HO-125.pdf	Purdue Cooperative Extension	Prevent flooding, collapse, rodents, mold, freezing, oxygen-deficient spaces, and unsafe food storage.	Extension publication; personal offline reference, review terms before redistribution.
ag-organic-planner-sare	organic-transition-planner.pdf	Organic Transition Planner	Agriculture-Planning	https://www.sare.org/wp-content/uploads/Organic-Transition-Planner.pdf	USDA SARE	Planning worksheets do not replace current legal, financial, certification, labor, or food-safety advice.	Freely distributed by SARE; retain attribution and source metadata.
ag-urban-farming-ny-cornell	guide-to-urban-farming-in-new-york-state.pdf	Guide to Urban Farming in New York State	Agriculture-Planning	https://smallfarms.cornell.edu/wp-content/uploads/2012/03/GuidetoUrbanFarminginNYS_160524-2-zninvt-196uuxg.pdf	Cornell Small Farms Program	Verify current zoning, land access, soil contamination, water, labor, food-safety, and business requirements.	Cornell publication; personal offline reference, licensing review required before redistribution.
