id	filename	title	category	source_url	publisher	safety_note
neets-15-servos	neets-15-synchros-servos-gyros.pdf	NEETS 15 - Synchros, Servos, and Gyros	Electronics-Intermediate	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_15.pdf	U.S. Navy / public-release mirror	Unexpected motion and energized control circuits require isolation.
neets-16-test-equipment	neets-16-test-equipment.pdf	NEETS 16 - Test Equipment	Electronics-Intermediate	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_16.pdf	U.S. Navy / public-release mirror	Use instruments and leads rated for the circuit category and voltage.
neets-17-rf-comms	neets-17-rf-communications.pdf	NEETS 17 - Radio-Frequency Communications Principles	Electronics-Advanced	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_17.pdf	U.S. Navy / public-release mirror	Observe RF exposure, interference, spectrum, and licensing rules.
neets-18-radar	neets-18-radar-principles.pdf	NEETS 18 - Radar Principles	Electronics-Advanced	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_18.pdf	U.S. Navy / public-release mirror	Radar equipment combines lethal voltage, RF exposure, and mechanical hazards.
neets-19-handbook	neets-19-technician-handbook.pdf	NEETS 19 - Technician's Handbook	Electronics-Advanced	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_19.pdf	U.S. Navy / public-release mirror	Reference only; use current component and equipment specifications.
neets-20-glossary	neets-20-master-glossary.pdf	NEETS 20 - Master Glossary	Electronics-Advanced	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_20.pdf	U.S. Navy / public-release mirror	Terminology reference; not a substitute for equipment-specific procedures.
neets-21-test-methods	neets-21-test-methods-practices.pdf	NEETS 21 - Test Methods and Practices	Electronics-Advanced	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_21.pdf	U.S. Navy / public-release mirror	Live diagnosis is hazardous; use isolation and appropriately rated equipment.
neets-22-computers	neets-22-digital-computers.pdf	NEETS 22 - Digital Computers	Electronics-Advanced	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_22.pdf	U.S. Navy / public-release mirror	Historical architecture reference; verify modern interfaces and supply limits.
neets-23-recording	neets-23-magnetic-recording.pdf	NEETS 23 - Magnetic Recording	Electronics-Advanced	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_23.pdf	U.S. Navy / public-release mirror	Historical equipment reference; rotating and high-voltage hazards may be present.
neets-24-fiber	neets-24-fiber-optics.pdf	NEETS 24 - Fiber Optics	Electronics-Advanced	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_24.pdf	U.S. Navy / public-release mirror	Never view an energized fiber; control glass shards and laser exposure.
auto-course-outline	automotive-mechanic-course-outline.pdf	Automotive Mechanic Course Outline and Shop Practice	Automotive-Basics	https://files.eric.ed.gov/fulltext/ED034037.pdf	ERIC / U.S. Department of Education archive	Older curriculum; use current manufacturer procedures, specifications, and safety rules.
auto-shop-safety	niosh-occupational-safety-vocational-education.pdf	NIOSH - Occupational Safety and Health in Vocational Education	Automotive-Basics	https://stacks.cdc.gov/view/cdc/209348/cdc_209348_DS1.pdf	NIOSH / CDC Stacks	Begin with shop safety; never work beneath a vehicle supported only by a jack.
auto-principles-tm9-8000	tm-9-8000-principles-automotive-vehicles.pdf	TM 9-8000 - Principles of Automotive Vehicles	Automotive-Basics	https://radionerds.com/images/e/ea/TM_9-8000_PRINCIPLES_OF_AUTOMOTIVE_VEHICLES.pdf	U.S. Army / public-release mirror	General theory is dated; model-specific torque values, fluids, lifting points, and procedures control.
auto-electrical-army	army-wheeled-vehicle-electrical-systems.pdf	Army Wheeled Vehicle Electrical Systems	Automotive-Intermediate	https://files.eric.ed.gov/fulltext/ED212800.pdf	U.S. Army curriculum archived by ERIC	Older vehicle technology; isolate batteries and verify current model-specific procedures.
auto-heavy-equipment-basic	navedtra-14081-equipment-operator-basic.pdf	NAVEDTRA 14081 - Equipment Operator, Basic	Automotive-Intermediate	https://navytribe.com/wp-content/uploads/2015/11/navedtra-14081.pdf	U.S. Navy / public-release mirror	Heavy equipment requires trained operators, inspections, exclusion zones, and machine-specific manuals.
auto-small-tires-osha	osha-small-tire-service-hazards.pdf	OSHA - Light Truck and Automobile Tire Service Hazards	Automotive-Intermediate	https://www.osha.gov/sites/default/files/publications/SHIB042904.pdf	U.S. Occupational Safety and Health Administration	Tire and rim assemblies can fail explosively; use trained procedures and restraining equipment.
auto-brake-asbestos-osha	osha-brake-clutch-asbestos.pdf	OSHA - Asbestos in Automotive Brake and Clutch Work	Automotive-Intermediate	https://www.osha.gov/sites/default/files/publications/SHIB072606.pdf	U.S. Occupational Safety and Health Administration	Older and replacement friction materials may contain asbestos; do not create airborne dust.
auto-fluid-power	navedtra-12964-fluid-power.pdf	NAVEDTRA 12964 - Fluid Power: Hydraulics and Pneumatics	Automotive-Advanced	https://www.teachengineering.org/content/pur_/lessons/pur_fluidpower_less1/pur_fluidpower_lesson01_trainingmanualfluidpower.pdf	U.S. Navy / TeachEngineering mirror	Stored hydraulic or pneumatic energy and injection injuries can kill; depressurize and verify zero energy.
auto-heavy-equipment-advanced	navedtra-14080-equipment-operator-advanced.pdf	NAVEDTRA 14080 - Equipment Operator, Advanced	Automotive-Advanced	https://navytribe.com/wp-content/uploads/2015/11/navedtra-14080.pdf	U.S. Navy / public-release mirror	Advanced reference for trained operators; machine-specific load charts and manuals control.
auto-construction-mechanic-advanced	navedtra-14050-construction-mechanic-advanced.pdf	NAVEDTRA 14050 - Construction Mechanic, Advanced	Automotive-Advanced	https://navytribe.com/wp-content/uploads/2015/11/navedtra-14050.pdf	U.S. Navy / public-release mirror	Advanced reference; do not improvise safety-critical repairs or exceed manufacturer limits.
auto-aerial-lifts-osha	osha-using-aerial-lifts.pdf	OSHA - Using Aerial Lifts and Bucket Trucks	Automotive-Advanced	https://www.osha.gov/sites/default/files/publications/aerial_lifts.pdf	U.S. Occupational Safety and Health Administration	Bucket and aerial lifts require training, fall protection, clearance, inspection, and manufacturer instructions.
